unique ,party,gender_policy,country,catholic ,muslim ,ethnicity ,gender ,buddhist,gun_control,approval,amend_support,social_media,social_media_presence,christian,cause,first_term,policy_view,boosters,salary
S001,1,1,0,0,0,2,F,0,0,43,1,1,2,1,1,2025,0,31077805.53,"174,000"
S002,1,1,0,0,0,1,F,0,0,48,1,1,1,0,1,2013,0,59595651.15,"174,000"
S003,2,2,0,0,0,1,M,0,1,30,0,1,1,1,0,2025,0,7151158,"174,000"
S004,2,1,0,0,0,1,M,0,0,67,0,1,1,1,0,2007,1,10650613.14,"174,000"
S005,1,2,1,0,0,1,M,0,1,46,1,1,2,0,1,2009,0,21840000,"174,000"
S006,2,1,0,0,0,1,F,0,0,54,0,1,1,1,0,2019,1,18746112.53,"174,000"
S007,1,1,0,0,0,1,M,0,1,54,1,1,1,0,1,2011,0,216139.35,"174,000"
S008,1,1,0,0,0,2,F,0,0,47,1,1,2,1,1,2025,0,371070.78,"174,000"
S009,1,1,0,0,0,2,M,0,1,51,1,1,1,1,1,2013,0,28806212.12,"174,000"
S010,2,2,0,0,0,1,M,0,1,48,0,1,1,1,0,2011,0,143223.76,"174,000"
S011,2,3,0,0,0,1,F,0,1,52,0,1,1,1,0,2023,1,1690765.2,"174,000"
S012,2,2,0,0,0,1,M,0,0,38,0,1,1,1,0,2023,0,447888.25,"174,000"
S013,1,1,0,1,0,1,F,0,1,54,1,1,1,1,1,2001,0,13025509.69,"174,000"
S014,2,1,0,0,0,1,F,0,1,50,0,1,1,1,0,2015,1,1941829.78,"174,000"
S015,2,2,0,0,0,1,M,0,1,49,0,1,1,1,0,2015,0,2637013.85,"174,000"
S016,1,1,0,1,0,1,F,0,0,47,1,1,1,1,1,1997,0,7933772.44,"174,000"
S017,1,1,0,0,0,1,M,0,1,50,1,1,1,1,1,2010,0,4714517.15,"174,000"
S018,2,2,0,0,0,1,M,0,0,41,0,1,1,1,0,2002,1,8957114.53,"174,000"
S019,1,1,0,1,0,3,F,0,1,47,1,1,1,1,1,2017,0,872022.5,"174,000"
S020,2,2,0,0,0,1,M,0,1,51,0,1,1,1,0,2015,1,10746980.67,"174,000"
S021,2,2,0,0,0,1,M,0,1,56,0,1,1,1,0,2019,1,6577477.15,"174,000"
S022,2,2,0,0,0,1,M,0,1,46,0,1,1,1,0,1999,1,797982.58,"174,000"
S023,2,2,0,0,0,3,M,0,0,45,0,1,1,1,0,2013,0,103336340.8,"174,000"
S024,2,1,0,0,0,1,M,0,1,39,0,1,2,1,1,2025,0,5748063.58,"174,000"
S025,2,2,0,0,0,1,M,0,0,46,0,1,1,1,0,2015,1,6715883.23,"174,000"
S026,1,1,1,0,0,4,F,0,0,49,1,1,1,0,1,2017,0,2416253.7,"174,000"
S027,2,2,0,1,0,1,M,0,0,47,0,1,1,1,1,1997,0,39050.68,"174,000"
S028,1,2,0,0,0,1,F,0,0,44,1,1,1,1,0,2015,0,7104403.96,"174,000"
S029,2,2,0,0,0,1,M,0,1,48,0,1,1,0,1,2023,0,1111635.8,"174,000"
S030,1,2,0,0,0,1,F,0,1,41,1,1,1,1,0,2013,0,8687977.41,"174,000"
S031,1,2,0,1,0,3,M,0,1,49,1,1,1,1,1,2020,0,64657199.96,"174,000"
S032,1,1,0,1,0,1,F,0,0,52,1,1,2,1,0,2009,0,15722158.88,"174,000"
S033,2,2,0,0,0,1,M,0,0,46,0,1,1,1,0,2003,0,18764410.35,"174,000"
S034,2,2,0,0,0,1,M,0,1,45,0,1,1,1,0,1981,0,120880.73,"174,000"
S035,2,2,0,0,0,1,M,0,1,51,0,1,1,1,1,2021,1,12681393.43,"174,000"
S036,1,1,0,0,0,1,F,0,0,49,1,1,2,1,0,2017,0,1085081.23,"174,000"
S037,2,2,0,0,0,1,M,0,1,45,0,1,1,1,1,2019,1,27468286.42,"174,000"
S038,1,1,0,0,0,1,M,0,0,50,1,1,1,1,0,2013,0,643221.62,"174,000"
S039,1,1,0,0,0,1,M,0,0,51,1,1,2,1,0,2021,0,6481472.11,"174,000"
S040,1,1,1,0,0,4,F,1,0,59,1,1,1,0,0,2013,0,5046979.66,"174,000"
S041,2,2,0,0,0,1,M,0,1,60,0,1,1,1,1,2011,0,195900,"174,000"
S042,2,2,0,0,0,1,M,0,0,50,0,1,1,1,0,2025,0,5840227.87,"174,000"
S043,2,2,0,0,0,1,F,0,1,47,0,1,2,1,0,2018,1,3966584.5,"174,000"
S044,2,3,0,0,0,1,M,0,1,41,0,1,1,1,0,2011,0,590545.38,"174,000"
S045,2,3,0,1,0,1,M,0,0,55,0,1,2,1,0,2025,0,4587416.08,"174,000"
S046,1,1,0,1,0,1,M,0,0,52,1,1,2,1,1,2013,0,21950099.3,"174,000"
S047,1,1,0,1,0,1,M,0,0,51,1,1,1,1,1,2020,0,9659663.24,"174,000"
S048,2,2,0,0,0,1,M,0,1,54,0,1,1,1,0,2017,1,3786138.88,"174,000"
S049,1,1,0,0,0,4,M,0,0,48,1,1,2,1,1,2025,0,12441003.62,"174,000"
S050,3,1,0,0,0,1,M,0,0,61,1,1,1,1,1,2013,0,5837249.43,"174,000"
S051,1,1,0,1,0,1,F,0,0,57,1,1,1,1,1,2007,0,21873758.67,"174,000"
S052,2,2,0,0,0,1,M,0,0,51,0,1,1,1,0,2015,1,381418.54,"174,000"
S053,2,2,0,0,0,1,M,0,1,46,0,1,1,1,0,2011,0,1195223.69,"174,000"
S054,1,1,0,1,0,3,M,0,1,47,1,1,2,1,1,2021,0,5572840.93,"174,000"
S055,2,1,0,0,0,1,F,0,0,55,0,1,1,1,0,2021,1,2552044.67,"174,000"
S056,1,1,0,1,0,1,M,0,1,57,1,1,1,1,1,2013,0,4855058.26,"174,000"
S057,2,2,0,0,0,1,M,0,0,40,0,1,1,1,0,2021,1,4014417.53,"174,000"
S058,2,2,0,0,0,1,M,0,1,31,0,1,1,1,0,1985,0,33653.82,"174,000"
S059,2,3,0,0,0,1,M,0,1,46,0,1,2,1,0,2025,0,35970836.83,"174,000"
S060(Aiden 40-60),1,1,0,0,0,1,M,0,0,48,1,1,1,1,1,2009,0,4862895.12,"174,000"
S061,2,2,0,0,0,1,F,0,0,35,0,1,1,1,0,2025,0,4039947.11,"174,000"
S062,2,2,0,0,0,1,M,0,0,40,0,1,1,1,0,2011,0,272197.6,"174,000"
S063,2,3,1,1,0,3,M,0,1,47,0,1,1,1,0,2025,0,26920693.53,"174,000"
S064,2,3,0,0,0,1,M,0,0,49,0,1,1,1,0,2023,1,3884006.82,"174,000"
S065,2,1,0,1,0,1,F,0,1,48,0,1,1,1,1,2002,0,798810.45,"174,000"
S066,1,1,0,0,0,1,M,0,0,59,1,1,1,1,1,2013,0,15318771.16,"174,000"
S067,1,1,0,1,0,1,F,0,0,52,1,1,1,1,1,1993,0,1158940.27,"174,000"
S068,1,1,0,0,0,1,M,0,0,51,1,1,1,0,1,2021,0,54052215.03,"174,000"
S069,1,3,0,1,0,3,M,0,1,40,1,1,1,1,1,2021,0,689734.64,"174,000"
S070,2,1,0,0,0,1,M,0,0,47,0,1,1,1,0,2011,0,9619287.99,"174,000"
S071,1,1,0,1,0,1,M,0,0,43,1,1,1,1,1,2015,0,28122.32,"174,000"
S072,1,1,0,1,0,1,M,0,1,56,1,1,1,1,1,1997,0,548860,"174,000"
S073,2,3,0,1,0,1,M,0,0,46,0,1,2,1,0,2023,0,2466701.64,"174,000"
S074,2,2,0,1,0,1,M,0,0,46,0,1,1,1,0,2009,1,2869691,"174,000"
S075,1,1,0,0,0,1,F,0,1,52,1,1,1,0,1,2019,0,52192355.94,"174,000"
S076,2,2,0,1,0,1,M,0,1,57,0,1,1,1,1,2015,0,2792217.57,"174,000"
S077,3,1,0,0,0,1,M,0,0,69,1,1,1,0,1,2007,0,36301484.01,"174,000"
S078,1,1,0,0,0,1,M,0,1,58,1,1,1,0,0,2012,0,827410.63,"174,000"
S079,1,1,0,0,0,1,M,0,0,44,1,1,1,0,1,2024,0,48149196.78,"174,000"
S080,2,2,0,1,0,1,M,0,0,44,0,1,2,1,0,2023,1,2758172.11,"174,000"
S081,1,2,0,0,0,1,M,0,0,50,1,1,1,0,0,1991,0,326565.01,"174,000"
S082,2,2,0,0,0,1,M,0,1,49,0,1,1,1,1,2019,1,46570583.9,"174,000"
S083,2,2,0,0,0,2,M,0,0,52,0,1,1,1,0,2013,0,2100389.42,"174,000"
S084,1,2,0,0,0,1,F,0,1,56,1,1,1,1,1,2009,0,155962.42,"174,000"
S085,2,2,0,0,0,1,M,0,1,59,0,1,1,1,1,2025,0,30015786.32,"174,000"
S086,1,1,0,0,0,1,F,0,0,48,1,1,1,0,0,2025,0,51937060.2,"174,000"
S087,1,1,0,0,0,1,F,0,1,43,1,1,1,1,0,2018,0,38204.03,"174,000"
S088,2,2,0,1,0,1,M,0,0,50,0,1,1,1,0,2015,0,5983999.76,"174,000"
S089,2,2,0,0,0,1,M,0,0,56,0,1,1,1,0,2005,0,1223858.24,"174,000"
S090,2,2,0,1,0,1,M,0,0,42,0,1,2,1,1,2015,0,4120269.36,"174,000"
S091,2,2,0,0,0,1,M,0,1,52,0,1,1,1,1,2021,1,493693.83,"174,000"
S092,1,1,0,0,0,1,M,0,1,48,1,1,1,1,1,2017,0,500315.14,"174,000"
S093,1,1,0,0,0,1,M,0,1,53,1,1,1,1,1,2009,0,16508412.27,"174,000"
S094,1,1,0,0,0,2,M,0,1,49,1,1,1,1,1,2021,0,922614.66,"174,000"
S095,1,1,0,0,0,1,F,0,0,57,1,1,1,1,1,2013,0,21088321.25,"174,000"
S096,1,1,0,1,0,1,M,0,0,62,1,1,1,1,1,2023,0,27446.49,"174,000"
S097,1,1,0,0,0,1,M,0,0,53,1,1,1,1,1,2007,0,6826216.9,"174,000"
S098,2,2,0,0,0,1,M,0,0,47,0,1,1,1,1,2007,1,9850510.51,"174,000"
S099,1,1,0,0,0,1,M,0,0,49,1,1,0,1,0,1996,0,477879.17,"174,000"
S0100,2,2,0,0,0,1,M,0,1,40,0,1,1,1,1,2017,1,2007044.66,"174,000"
